Category;Description;TCID;REQID;MappedTCsCount;FeatureREQID;UserStoryCount
C2;TCID 'TC0076' from test_cases.csv is not mapped in REQID_TCID.csv;TC0076;;;;
C2;TCID 'TC0077' from test_cases.csv is not mapped in REQID_TCID.csv;TC0077;;;;
C2;TCID 'TC0078' from test_cases.csv is not mapped in REQID_TCID.csv;TC0078;;;;
C2;TCID 'TC0079' from test_cases.csv is not mapped in REQID_TCID.csv;TC0079;;;;
C2;TCID 'TC0080' from test_cases.csv is not mapped in REQID_TCID.csv;TC0080;;;;
C2;TCID 'TC0081' from test_cases.csv is not mapped in REQID_TCID.csv;TC0081;;;;
C2;TCID 'TC0082' from test_cases.csv is not mapped in REQID_TCID.csv;TC0082;;;;
C2;TCID 'TC0083' from test_cases.csv is not mapped in REQID_TCID.csv;TC0083;;;;
C2;TCID 'TC0084' from test_cases.csv is not mapped in REQID_TCID.csv;TC0084;;;;
C2;TCID 'TC0085' from test_cases.csv is not mapped in REQID_TCID.csv;TC0085;;;;
C2;TCID 'TC0086' from test_cases.csv is not mapped in REQID_TCID.csv;TC0086;;;;
C2;TCID 'TC0087' from test_cases.csv is not mapped in REQID_TCID.csv;TC0087;;;;
C2;TCID 'TC0088' from test_cases.csv is not mapped in REQID_TCID.csv;TC0088;;;;
C2;TCID 'TC0089' from test_cases.csv is not mapped in REQID_TCID.csv;TC0089;;;;
C2;TCID 'TC0090' from test_cases.csv is not mapped in REQID_TCID.csv;TC0090;;;;
C2;TCID 'TC0091' from test_cases.csv is not mapped in REQID_TCID.csv;TC0091;;;;
C2;TCID 'TC0092' from test_cases.csv is not mapped in REQID_TCID.csv;TC0092;;;;
C2;TCID 'TC0093' from test_cases.csv is not mapped in REQID_TCID.csv;TC0093;;;;
C2;TCID 'TC0094' from test_cases.csv is not mapped in REQID_TCID.csv;TC0094;;;;
C2;TCID 'TC0095' from test_cases.csv is not mapped in REQID_TCID.csv;TC0095;;;;
C2;TCID 'TC0096' from test_cases.csv is not mapped in REQID_TCID.csv;TC0096;;;;
C2;TCID 'TC0097' from test_cases.csv is not mapped in REQID_TCID.csv;TC0097;;;;
C2;TCID 'TC0098' from test_cases.csv is not mapped in REQID_TCID.csv;TC0098;;;;
C2;TCID 'TC0099' from test_cases.csv is not mapped in REQID_TCID.csv;TC0099;;;;
C2;TCID 'TC0100' from test_cases.csv is not mapped in REQID_TCID.csv;TC0100;;;;
C2;TCID 'TC0101' from test_cases.csv is not mapped in REQID_TCID.csv;TC0101;;;;
C2;TCID 'TC0102' from test_cases.csv is not mapped in REQID_TCID.csv;TC0102;;;;
C2;TCID 'TC0103' from test_cases.csv is not mapped in REQID_TCID.csv;TC0103;;;;
C2;TCID 'TC0104' from test_cases.csv is not mapped in REQID_TCID.csv;TC0104;;;;
C2;TCID 'TC0105' from test_cases.csv is not mapped in REQID_TCID.csv;TC0105;;;;
C2;TCID 'TC0106' from test_cases.csv is not mapped in REQID_TCID.csv;TC0106;;;;
C2;TCID 'TC0107' from test_cases.csv is not mapped in REQID_TCID.csv;TC0107;;;;
C2;TCID 'TC0108' from test_cases.csv is not mapped in REQID_TCID.csv;TC0108;;;;
C2;TCID 'TC0109' from test_cases.csv is not mapped in REQID_TCID.csv;TC0109;;;;
C2;TCID 'TC0110' from test_cases.csv is not mapped in REQID_TCID.csv;TC0110;;;;
C2;TCID 'TC0111' from test_cases.csv is not mapped in REQID_TCID.csv;TC0111;;;;
C2;TCID 'TC0112' from test_cases.csv is not mapped in REQID_TCID.csv;TC0112;;;;
C2;TCID 'TC0113' from test_cases.csv is not mapped in REQID_TCID.csv;TC0113;;;;
C2;TCID 'TC0114' from test_cases.csv is not mapped in REQID_TCID.csv;TC0114;;;;
C2;TCID 'TC0115' from test_cases.csv is not mapped in REQID_TCID.csv;TC0115;;;;
C2;TCID 'TC0116' from test_cases.csv is not mapped in REQID_TCID.csv;TC0116;;;;
C2;TCID 'TC0117' from test_cases.csv is not mapped in REQID_TCID.csv;TC0117;;;;
C2;TCID 'TC0118' from test_cases.csv is not mapped in REQID_TCID.csv;TC0118;;;;
C2;TCID 'TC0119' from test_cases.csv is not mapped in REQID_TCID.csv;TC0119;;;;
C2;TCID 'TC0120' from test_cases.csv is not mapped in REQID_TCID.csv;TC0120;;;;
C2;TCID 'TC0121' from test_cases.csv is not mapped in REQID_TCID.csv;TC0121;;;;
C2;TCID 'TC0122' from test_cases.csv is not mapped in REQID_TCID.csv;TC0122;;;;
C2;TCID 'TC0123' from test_cases.csv is not mapped in REQID_TCID.csv;TC0123;;;;
C2;TCID 'TC0124' from test_cases.csv is not mapped in REQID_TCID.csv;TC0124;;;;
C2;TCID 'TC0125' from test_cases.csv is not mapped in REQID_TCID.csv;TC0125;;;;
C2;TCID 'TC0126' from test_cases.csv is not mapped in REQID_TCID.csv;TC0126;;;;
C2;TCID 'TC0127' from test_cases.csv is not mapped in REQID_TCID.csv;TC0127;;;;
C2;TCID 'TC0128' from test_cases.csv is not mapped in REQID_TCID.csv;TC0128;;;;
C2;TCID 'TC0129' from test_cases.csv is not mapped in REQID_TCID.csv;TC0129;;;;
C2;TCID 'TC0130' from test_cases.csv is not mapped in REQID_TCID.csv;TC0130;;;;
C2;TCID 'TC0131' from test_cases.csv is not mapped in REQID_TCID.csv;TC0131;;;;
C2;TCID 'TC0132' from test_cases.csv is not mapped in REQID_TCID.csv;TC0132;;;;
C2;TCID 'TC0133' from test_cases.csv is not mapped in REQID_TCID.csv;TC0133;;;;
C2;TCID 'TC0134' from test_cases.csv is not mapped in REQID_TCID.csv;TC0134;;;;
C2;TCID 'TC0135' from test_cases.csv is not mapped in REQID_TCID.csv;TC0135;;;;
C2;TCID 'TC0136' from test_cases.csv is not mapped in REQID_TCID.csv;TC0136;;;;
C2;TCID 'TC0137' from test_cases.csv is not mapped in REQID_TCID.csv;TC0137;;;;
C2;TCID 'TC0138' from test_cases.csv is not mapped in REQID_TCID.csv;TC0138;;;;
C2;TCID 'TC0139' from test_cases.csv is not mapped in REQID_TCID.csv;TC0139;;;;
C2;TCID 'TC0140' from test_cases.csv is not mapped in REQID_TCID.csv;TC0140;;;;
C2;TCID 'TC0141' from test_cases.csv is not mapped in REQID_TCID.csv;TC0141;;;;
C2;TCID 'TC0142' from test_cases.csv is not mapped in REQID_TCID.csv;TC0142;;;;
C2;TCID 'TC0143' from test_cases.csv is not mapped in REQID_TCID.csv;TC0143;;;;
C2;TCID 'TC0144' from test_cases.csv is not mapped in REQID_TCID.csv;TC0144;;;;
C2;TCID 'TC0145' from test_cases.csv is not mapped in REQID_TCID.csv;TC0145;;;;
C2;TCID 'TC0146' from test_cases.csv is not mapped in REQID_TCID.csv;TC0146;;;;
C2;TCID 'TC0147' from test_cases.csv is not mapped in REQID_TCID.csv;TC0147;;;;
C2;TCID 'TC0148' from test_cases.csv is not mapped in REQID_TCID.csv;TC0148;;;;
C2;TCID 'TC0149' from test_cases.csv is not mapped in REQID_TCID.csv;TC0149;;;;
C2;TCID 'TC0150' from test_cases.csv is not mapped in REQID_TCID.csv;TC0150;;;;
C2;TCID 'TC0151' from test_cases.csv is not mapped in REQID_TCID.csv;TC0151;;;;
C2;TCID 'TC0152' from test_cases.csv is not mapped in REQID_TCID.csv;TC0152;;;;
C2;TCID 'TC0153' from test_cases.csv is not mapped in REQID_TCID.csv;TC0153;;;;
C2;TCID 'TC0154' from test_cases.csv is not mapped in REQID_TCID.csv;TC0154;;;;
C2;TCID 'TC0155' from test_cases.csv is not mapped in REQID_TCID.csv;TC0155;;;;
C2;TCID 'TC0156' from test_cases.csv is not mapped in REQID_TCID.csv;TC0156;;;;
C2;TCID 'TC0157' from test_cases.csv is not mapped in REQID_TCID.csv;TC0157;;;;
C2;TCID 'TC0158' from test_cases.csv is not mapped in REQID_TCID.csv;TC0158;;;;
C2;TCID 'TC0159' from test_cases.csv is not mapped in REQID_TCID.csv;TC0159;;;;
C2;TCID 'TC0160' from test_cases.csv is not mapped in REQID_TCID.csv;TC0160;;;;
C2;TCID 'TC0161' from test_cases.csv is not mapped in REQID_TCID.csv;TC0161;;;;
C2;TCID 'TC0162' from test_cases.csv is not mapped in REQID_TCID.csv;TC0162;;;;
C2;TCID 'TC0163' from test_cases.csv is not mapped in REQID_TCID.csv;TC0163;;;;
C2;TCID 'TC0164' from test_cases.csv is not mapped in REQID_TCID.csv;TC0164;;;;
C2;TCID 'TC0165' from test_cases.csv is not mapped in REQID_TCID.csv;TC0165;;;;
C2;TCID 'TC0166' from test_cases.csv is not mapped in REQID_TCID.csv;TC0166;;;;
C2;TCID 'TC0167' from test_cases.csv is not mapped in REQID_TCID.csv;TC0167;;;;
C2;TCID 'TC0168' from test_cases.csv is not mapped in REQID_TCID.csv;TC0168;;;;
C2;TCID 'TC0169' from test_cases.csv is not mapped in REQID_TCID.csv;TC0169;;;;
C2;TCID 'TC0170' from test_cases.csv is not mapped in REQID_TCID.csv;TC0170;;;;
C2;TCID 'TC0171' from test_cases.csv is not mapped in REQID_TCID.csv;TC0171;;;;
C2;TCID 'TC0172' from test_cases.csv is not mapped in REQID_TCID.csv;TC0172;;;;
C2;TCID 'TC0173' from test_cases.csv is not mapped in REQID_TCID.csv;TC0173;;;;
C2;TCID 'TC0174' from test_cases.csv is not mapped in REQID_TCID.csv;TC0174;;;;
C2;TCID 'TC0175' from test_cases.csv is not mapped in REQID_TCID.csv;TC0175;;;;
C2;TCID 'TC0176' from test_cases.csv is not mapped in REQID_TCID.csv;TC0176;;;;
C2;TCID 'TC0177' from test_cases.csv is not mapped in REQID_TCID.csv;TC0177;;;;
C2;TCID 'TC0178' from test_cases.csv is not mapped in REQID_TCID.csv;TC0178;;;;
C2;TCID 'TC0179' from test_cases.csv is not mapped in REQID_TCID.csv;TC0179;;;;
C2;TCID 'TC0180' from test_cases.csv is not mapped in REQID_TCID.csv;TC0180;;;;
C2;TCID 'TC0181' from test_cases.csv is not mapped in REQID_TCID.csv;TC0181;;;;
C2;TCID 'TC0182' from test_cases.csv is not mapped in REQID_TCID.csv;TC0182;;;;
C2;TCID 'TC0183' from test_cases.csv is not mapped in REQID_TCID.csv;TC0183;;;;
C2;TCID 'TC0184' from test_cases.csv is not mapped in REQID_TCID.csv;TC0184;;;;
